Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,Hatching success,,,,,,,,,,
,Indian Robin,,,,,,,,,,
,Pied Starling,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,House Sparrow,,,,,,,,,,
,Spotted Munia,,,,,,,,,,
TD-00612,"Kaur, P.",2017,Eco-biology of Little Egret (Egretta garzetta) and Indian Pond Heron (Ardeola grayii) in Jammu,Department of Zoology,Jammu,University of Jammu,233,Ph.D.,TD-00612,Little Egret,
,Egretta garzetta,,,,,,,,,,
,Indian Pond Heron,,,,,,,,,,
,Ardeola grayii,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Foraging ecology,,,,,,,,,,
,Aquatic ecosystem,,,,,,,,,,
,Bird surveys,,,,,,,,,,
TD-00614,"Takher, P.",2014,"Population dynamics, distribution status, ecology and ethology of Indian Chat Cercomela fusca in the Thar desert, India",Government Dungar College,Bikaner,"Maharaja Ganga Singh University, Bikaner",205,Ph.D.,TD-00614,Population dynamics,
,Population status,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Indian Chat,,,,,,,,,,
,Cercomela fusca,,,,,,,,,,
,Thar desert,,,,,,,,,,
,Egg size,,,,,,,,,,
,Clutch size,,,,,,,,,,
,Nesting success,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
,Fledging success,,,,,,,,,,
,Food provisioning,,,,,,,,,,
,Parental care,,,,,,,,,,
,Activity pattern,,,,,,,,,,
TD-00615,"Dev, K.",2010,"Demography, ecology and ethology of Indian Peafowl, Pavo cristatus in Shekhawati region of Thar desert, India",Government Dungar College,Bikaner,"Maharaja Ganga Singh University, Bikaner",255,Ph.D.,TD-00615,Indian Peafowl,
,Pavo cristatus,,,,,,,,,,
,Thar desert,,,,,,,,,,
,Pheasants,,,,,,,,,,
,Landbirds,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Population density,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Pair bonding,,,,,,,,,,
,Clutch size,,,,,,,,,,
,Hatching success,,,,,,,,,,
TD-00616,"Godshe, S. V.",2014,Ecology of Black Kite (Milvus migras govinda) with quantification of heavy metals in various tissues,Department of Zoology,Vadodara,Maharaja Sayajirao University of Baroda,183,Ph.D.,TD-00616,Black Kite,
,Milvus migrans,,,,,,,,,,
,Heavy metal contamination,,,,,,,,,,
,Population status,,,,,,,,,,
,Population fluctuation,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Resource availability,,,,,,,,,,
,Pellet analysis,,,,,,,,,,
,Human impacts,,,,,,,,,,
,Toxicity,,,,,,,,,,
TD-00617,"Rameshchandra, V. V.",2014,"Studies of Lesser Flamingo (Phoeniconaias minor) with special reference to ecology, threats and conservation management",Department of Zoology,Vadodara,Maharaja Sayajirao University of Baroda,189,Ph.D.,TD-00617,Lesser Flamingo,
,Phoeniconaias minor,,,,,,,,,,
,Species conservation,,,,,,,,,,
,Habitat characteristics,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Bird surveys,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Population density,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Egg size,,,,,,,,,,
TD-00618,"Shivanarayan, N.",1972,"Studies on the regulation of moult and reproduction in the House Swift, Apus affinis",Department of Zoology,Baroda,Maharaja Sayajirao University of Baroda,151,Ph.D.,TD-00618,House Swift,
,Apus affinis,,,,,,,,,,
,Feather moulting,,,,,,,,,,
,Gonadal development,,,,,,,,,,
TD-00619,"Naik, N. L.",1970,"Studies on the pterylosis, moults, plumages and leg myology of Starlings (Avian family Sturnidae)",Department of Zoology,Baroda,Maharaja Sayajirao University of Baroda,311,Ph.D.,TD-00619,Feather moulting,
,Plumage characteristics,,,,,,,,,,
,Starlings,,,,,,,,,,
,Sturnus vulgaris,,,,,,,,,,
,Aplonis tabuensis,,,,,,,,,,
TD-00620,"Naik, R. M.",1958,Studies on certain aspects of the functional anatomy of the flight muscle (pectoralis major) of a few representative birds exhibiting different modes of flight,Department of Zoology,Baroda,Maharaja Sayajirao University of Baroda,98,Ph.D.,TD-00620,Flight muscle,
,Bird Myology,,,,,,,,,,
,Pectoral appendages,,,,,,,,,,
,Bird studies,,,,,,,,,,
TD-00621,"Naik, D. V.",1963,Studies on certain metabolic and neuroendocrinological aspects of bird migration,Department of Zoology,Baroda,Maharaja Sayajirao University of Baroda,160,Ph.D.,TD-00621,Bird migration,
,Sturnus roseus,,,,,,,,,,
,Rosy Starling,,,,,,,,,,
,Endocrinal activity,,,,,,,,,,
,Gonadal activity,,,,,,,,,,
,Steroidogenesis,,,,,,,,,,
,Migration,,,,,,,,,,
TD-00622,"Deodattbhai, P. C.",1982,"Certain investigations on the involvement of pineal in general metabolism and seasonal physiology of the Feral Blue Rock Pigeon, Columba livia",Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",157,Ph.D.,TD-00622,Blue Rock Pigeon,
,Columba livia,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Homeostasis,,,,,,,,,,
TD-00623,"Bhavna, D. B.",2002,Jungle Babbler (Turdoides striatus): it's role in agro-ecosystem and variation in certain parameters related to its reproductive biology,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",184,Ph.D.,TD-00623,Jungle Babbler,
,Turdoides striatus,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Insectivory,,,,,,,,,,
,Reproductive system,,,,,,,,,,
,Steroidogenesis,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Carbohydrate metabolism,,,,,,,,,,
TD-00627,"Khan, M. A.",1974,Studies on some aspects of denervated Pigeon breast muscle,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",108,Ph.D.,TD-00627,Bird myology,
,Blue Rock Pigeon,,,,,,,,,,
,Cholesterol metabolism,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
TD-00628,"Jani, M. B.",1979,Studies on certain histophysiological aspects of avian integument,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",183,Ph.D.,TD-00628,Painted Stork,
,Ibis leucocephalus,,,,,,,,,,
,Bird feathers,,,,,,,,,,
,Feather development,,,,,,,,,,
,Thyroxine,,,,,,,,,,
,Columba livia,,,,,,,,,,
,Blue Rock Pigeon,,,,,,,,,,
,Passer domesticus,,,,,,,,,,
,House Sparrow,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
,Feather characteristics,,,,,,,,,,
,Sarus Crane,,,,,,,,,,
,Grus antigone,,,,,,,,,,
,White Ibis,,,,,,,,,,
,Threskiornis melanocephala,,,,,,,,,,
,Black-headed Ibis,,,,,,,,,,
TD-00629,"Patel, S. T.",1976,Studies on certain aspects of adaptive physiological and biochemical changes in migratory birds,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",168,Ph.D.,TD-00629,Bird physiology,
,Sturnus roseus,,,,,,,,,,
,Motacilla alba,,,,,,,,,,
,Bird migration,,,,,,,,,,
,Rosy Starling,,,,,,,,,,
,White Wagtail,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
TD-00631,"Yadav, P. L.",1975,Comparative histochemical studies on avian liver,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",220,Ph.D.,TD-00631,Liver morphology,
,Lipid metabolism,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
,Bird studies,,,,,,,,,,
TD-00632,"Talesaha, C. L.",1961,A histo-physiological and biochemical study of the pectoralis muscle of the Pigoen and a few representative types of birds with special reference to lipase and certain oxidative enzymes,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",111,Ph.D.,TD-00632,Pectoralis major,
,Blue Rock Pigeon,,,,,,,,,,
,Columba livia,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,Bird Myology,,,,,,,,,,
,Rosy Starling,,,,,,,,,,
,House Sparrow,,,,,,,,,,
,Flight muscle,,,,,,,,,,
,Avian flight,,,,,,,,,,
TD-00633,"Cherian, K. M.",1967,A histophysiological and biochemical study of pigeon breast muscle under induced atrophy and of human dystrophic muscle,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",140,Ph.D.,TD-00633,Blue Rock Pigeon,
,Bird Myology,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
,Bird physiology,,,,,,,,,,
TD-00634,"Jyoti, D.",1956,A study on the structure and metabolism of the bird and bat flight muscle,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",70,Ph.D.,TD-00634,Flight muscle,
,Pectoralis major,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Avian flight,,,,,,,,,,
,Lipid metabolism,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
TD-00635,"Valiyathan, N. V.",1963,Studies on certain metabolism adaptations in the avian pectoralis and blood,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",127,Ph.D.,TD-00635,Blue Rock Pigeon,
,Pectoralis major,,,,,,,,,,
,Bird Myology,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
,Rosy Pastor,,,,,,,,,,
,Sturnus roseus,,,,,,,,,,
,Bird migration,,,,,,,,,,
TD-00636,"Pilo, B.",1967,Histophysiological studies on certain tissues of the migratory starling Sturnus roseus with emphasis on the liver,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",165,Ph.D.,TD-00636,Rosy Starling,
,Sturnus roseus,,,,,,,,,,
,Bird migration,,,,,,,,,,
,Lymphocytopoiesis,,,,,,,,,,
,Avian haematopoiesis,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Avian flight,,,,,,,,,,
TD-00637,"John, T. M.",1967,Studies on some metabolic and neuroendocrinological aspects of bird migration,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",168,Ph.D.,TD-00637,Bird migration,
,Pectoralis major,,,,,,,,,,
,Bird Myology,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Motacilla alba,,,,,,,,,,
,Motacilla flava,,,,,,,,,,
,Rosy Starling,,,,,,,,,,
,Sturnus roseus,,,,,,,,,,
,Bird migration,,,,,,,,,,
,Wagtails,,,,,,,,,,
TD-00638,"Mehta, P. C.",1985,Neural and endocrine regulationo of gluconeogenesis in the kidney of Blue Rock Pigeon (Columba livia),Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",185,Ph.D.,TD-00638,Blue Rock Pigeon,
,Columba livia,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,House Sparrow,,,,,,,,,,
,Avian metabolism,,,,,,,,,,
,Carbohydrate metabolism,,,,,,,,,,
TD-00640,"Patel, P. V.",1978,Studies on certain aspects of metabolism and its regulation in the liver of growing and adult Pigeons,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",185,Ph.D.,TD-00640,Blue Rock Pigeon,
,Columba livia,,,,,,,,,,
,Pigeons,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,Liver metabolites,,,,,,,,,,
TD-00641,"Verma, R. T. J.",1982,Studies on histophysiological and biochemical changes in liver and certain other tissues of bilaterally vagotomized Pigeons,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",186,Ph.D.,TD-00641,Blue Rock Pigeon,
,Columba livia,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,Glucose regulation,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Liver metabolism,,,,,,,,,,
,Glucose uptake,,,,,,,,,,
,Homoeostasis,,,,,,,,,,
,Biochemical assay,,,,,,,,,,
TD-00642,"Iyengar, S.",1979,Studies on the relationship of post-hatching development of brain with the duration of nestling period in altricial birds,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",295,Ph.D.,TD-00642,Atricial birds,
,Brain histology,,,,,,,,,,
,Blue Rock Pigeon,,,,,,,,,,
,House Sparrow,,,,,,,,,,
,Nestling growth,,,,,,,,,,
,Brain development,,,,,,,,,,
,Cellular growth,,,,,,,,,,
,Cell differentiation,,,,,,,,,,
TD-00643,"Singh, D.",1993,Pineal-adrenal axis in reproductive functioning and metabolic physiology of birds,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",168,Ph.D.,TD-00643,Bird physiology,
,Physiological metabolites,,,,,,,,,,
,Corticosterone,,,,,,,,,,
,Adreno-pineal axis,,,,,,,,,,
,Carbohydrate metabolism,,,,,,,,,,
,Gonadotrophic hormones,,,,,,,,,,
TD-00644,"Salinukul, N.",1985,Studies on epidermal glands and specialized secretory units of avian integument,Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",197,Ph.D.,TD-00644,Passer domesticus,
,House Sparrow,,,,,,,,,,
,Avian physiology,,,,,,,,,,
,Histochemical studies,,,,,,,,,,
,Painted Stork,,,,,,,,,,
,Ibis leucocephalus,,,,,,,,,,
TD-00645,"Patel, C. A.",2013,"Inter-relationships of waders and macrobenthic assemblages with reference to abiotic variables in reservoirs of central Gujarat, India.",Department of Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",248,Ph.D.,TD-00645,Waders,
,Wetland ecosystem,,,,,,,,,,
,Molluscivores,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,Species density,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird communities,,,,,,,,,,
,Plovers,,,,,,,,,,
,Prey availability,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
TD-00646,"Rajesh, U. N.",2018,Biodiversity and ethological study of water birds in and around Surat city,Zoology,Surat,"Veer Narmad South Gujarat University, Surat",203,Ph.D.,TD-00646,Waterbirds,
,Wetland ecosystem,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Bird diversity,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Population estimation,,,,,,,,,,
,Resident vs migrant birds,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Guild classification,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Egg size,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Colonial nesting,,,,,,,,,,
,Heronry,,,,,,,,,,
,Anthropogenic pressure,,,,,,,,,,
,Grazing,,,,,,,,,,
,Poaching,,,,,,,,,,
,Urbanization,,,,,,,,,,
TD-00648,"Borad, C. K.",2002,Organochlorine pesticide residues in the body of some birds inhabiting agricultural fields and the impact on their reproductive success,Zoology,Baroda,"Maharaja Sayajirao University of Baroda, Baroda",136+xxxi,Ph.D.,TD-00648,Organochlorine pesticide,
,Reproductive success,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Residue analysis,,,,,,,,,,
,Morphometry,,,,,,,,,,
,Bio-magnification,,,,,,,,,,
,Bio-accumulation,,,,,,,,,,
,Wildlife management,,,,,,,,,,
TD-00649,"Chatterjee, A.",2017,"Waterfowl community attributes with special reference to limnological factors of three wetlands of Terai forests, West Bengal",Zoology,Kolkata,"University of Burdwan, Burdwan",266,Ph.D.,TD-00649,Wetland ecosystem,
,Waterfowl,,,,,,,,,,
,Habitat modification,,,,,,,,,,
,Guild composition,,,,,,,,,,
,Bird surveys,,,,,,,,,,
,Bird communities,,,,,,,,,,
,Conservation management,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Habitat conservation,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species density,,,,,,,,,,
,Human impacts,,,,,,,,,,
,Waterbird monitoring,,,,,,,,,,
,Niche partitioning,,,,,,,,,,
TD-00650,"Pramanik, A. K.",2013,"Studies of some aspects on breeding behaviour, diversity in nest pattern and parental care of a migratory bird species, the Open-billed Stork, Anastomus oscitans, in the Raiganj Wildlife Sanctuary, Raiganj, Uttar Dinajpur, West Bengal, India.",Zoology,Kalyani nadia,University of Kalyani,280,Ph.D.,TD-00650,Open-billed Stork,
,Anastomus oscitans,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
,Storks,,,,,,,,,,
,Aerial display,,,,,,,,,,
,Allo-preening,,,,,,,,,,
,Pair bonding,,,,,,,,,,
,Nest architecture,,,,,,,,,,
,Parental care,,,,,,,,,,
,Clutch size,,,,,,,,,,
,Egg size,,,,,,,,,,
,Hatching success,,,,,,,,,,
,Fledgling growth,,,,,,,,,,
,Fledging success,,,,,,,,,,
,Nesting success,,,,,,,,,,
,Food provisioning,,,,,,,,,,
,Colonial breeding,,,,,,,,,,
TD-00651,"Kundu, S.",2013,Impact of global climate change and other factors on the biodiversity of flora & fauna with special emphasis on the disperse bird populaitoni n some wetlands of the East Kolka,Department of Zoology,Kalyani nadia,University of Kalyani,279,Ph.D.,TD-00651,Bird diversity,
,Population studies,,,,,,,,,,
,Wetland ecosystem,,,,,,,,,,
,Climate change,,,,,,,,,,
,Bird surveys,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Trophic structure,,,,,,,,,,
TD-00652,"Patra, A.",2005,"Studies on some aspects of ecology with special emphasis on avifaunal diversity of Santragachi and Joypur Jheel, dist. Howrah, W.B., India.",Department of Zoology,Kalyani nadia,University of Kalyani,309,Ph.D.,TD-00652,Bird diversity,
,Bird studies,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Population dynamics,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Trophic structure,,,,,,,,,,
TD-00653,"Das, M. G.",2011,"Wetland loss and a threat to the migratory bird population: a study based on the bird population in two water-logged areas of the district south 24-PGS, West Bengal, India",Department of Zoology,Kalyani nadia,University of Kalyani,346,Ph.D.,TD-00653,Habitat loss,
,Wetland ecosystem,,,,,,,,,,
,Population studies,,,,,,,,,,
,Habitat characteristics,,,,,,,,,,
,Bird diversity,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Bird survey,,,,,,,,,,
,Species density,,,,,,,,,,
TD-00654,"Nandy, P. K.",1993,Histophysiological study of the male reproductive organs of two common Indian pest birds with special reference to their control of fertility,Department of Zoology,Kalyani nadia,University of Kalyani,165,Ph.D.,TD-00654,Gonadal growth,
,Reproductive system,,,,,,,,,,
,Rose-ringed Parakeet,,,,,,,,,,
,House Sparrow,,,,,,,,,,
,Passer domesticus,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
TD-00655,"Sharma, M.",2014,"Study on the population, foraging, roosting and breeding activities of the Cattle Egret (Bubulcus ibis) inhabiting the arid zone of Rajasthan",Zoology,Bikaner,Maharaja Ganga Singh University,302,Ph.D.,TD-00655,Population studies,
,Foraging behaviour,,,,,,,,,,
,Cattle Egret,,,,,,,,,,
,Bubulcus ibis,,,,,,,,,,
,Egrets,,,,,,,,,,
,Waders,,,,,,,,,,
,Pellet analysis,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Pair bonding,,,,,,,,,,
,Egg size,,,,,,,,,,
,Hatching success,,,,,,,,,,
,Fledgling growth,,,,,,,,,,
,Human impacts,,,,,,,,,,
TD-00656,"Meghwal, M. L.",2017,"Study on the population, foraging, roosting and breeding activities of the Black-winged Kite (Elanus caeruleus) inhabiting the arid zone of Rajasthan",Zoology,Bikaner,Maharaja Ganga Singh University,168,Ph.D.,TD-00656,Population studies,
,Foraging behaviour,,,,,,,,,,
,Black-winged Kite,,,,,,,,,,
,Elanus caeruleus,,,,,,,,,,
,Vocalization,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
,Courtship display,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
,Population fluctuation,,,,,,,,,,
,Preening,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Pair bonding,,,,,,,,,,
,Nestling growth,,,,,,,,,,
,Fledging success,,,,,,,,,,
TD-00657,"Nayak, S.",2015,"Investigation of reptilian and avian biodiversity patterns and their conservation strategy on Sanghagara forest ecosystem, Keonjhar, Odisha",Department of Zoology,Bhubaneswar,Utkal University,134,Ph.D.,TD-00657,Bird diversity,
,Forest ecosystem,,,,,,,,,,
,Species conservation,,,,,,,,,,
,Habitat conservation,,,,,,,,,,
TD-00658,"Singh, S.",2017,"A study of distribution, ecology and ethology of Rose-ringed Parakeet (Psittacula krameri) in the Shekhawati region of Rajastha, India",Zoology,Banswara,Maharaja Ganga Singh University,244,Ph.D.,TD-00658,Species distribution,
,Rose-ringed Parakeet,,,,,,,,,,
,Psittacula krameri,,,,,,,,,,
,Semi-arid region,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Preening,,,,,,,,,,
,Communal roosting,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
,Courtship behaviour,,,,,,,,,,
,Pair bonding,,,,,,,,,,
,Hatching success,,,,,,,,,,
,Parental care,,,,,,,,,,
,Nesting behaviour,,,,,,,,,,
,Egg size,,,,,,,,,,
TD-00659,"Yadav, S.",1992,Testicular growth in Grey Quail Coturnix coturnix,Zoology,Gazipur,University of Kanpur,167,Ph.D.,TD-00659,Grey Quail,
,Coturnix coturnix,,,,,,,,,,
,Gonadal growth,,,,,,,,,,
,Gonadal cycle,,,,,,,,,,
,Bird physiology,,,,,,,,,,
TD-00660,"Jain, V.",1994,The histochemical studies on mucosubstances in gastrointestinal tract of Tyto alba,Zoology,Kanpur,University of Kanpur,136,Ph.D.,TD-00660,Tyto alba,
,Barn Owl,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Gastro-intestinal system,,,,,,,,,,
TD-00661,"Verma, H. R.",1991,"Gonadal-endocrine activities and interrelations, related to breeding biology of the Grey Qual - Coturnix coturnix",Zoology,Kanpur,University of Kanpur,109,Ph.D.,TD-00661,Coturnix coturnix,
,Common Quail,,,,,,,,,,
,Gonadal development,,,,,,,,,,
,Gamebirds,,,,,,,,,,
,Partridges,,,,,,,,,,
,Grey Quail,,,,,,,,,,
,Photoperiod,,,,,,,,,,
TD-00662,"Bhat, N.",,The photoperiodic control of seasonal reproduction in birds,Zoology,Kanpur,University of Kanpur,206,Ph.D.,TD-00662,Photoperiod,
,Red Munia,,,,,,,,,,
,Estrilda amandava,,,,,,,,,,
,Amandava amandava,,,,,,,,,,
,Gonadal development,,,,,,,,,,
TD-00663,"Dubey, A.",1998,The action of testosterone on the reproduction of Rain Quail (Coturnix coromandelica),Zoology,Kanpur,"University of Kanpur, Kanpur",161,Ph.D.,TD-00663,Rain Quail,
,Coturnix coromandelica,,,,,,,,,,
,Avian physiology,,,,,,,,,,
,Reproductive system,,,,,,,,,,
,Gonadal development,,,,,,,,,,
TD-00664,"Singh, A.",1993,The behaviour of finches,Zoology,Kanpur,University of Kanpur,138,Ph.D.,TD-00664,Zebra finch,
,Taeniopygia poephila guttate,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Life-history strategies,,,,,,,,,,
,Nesting behaviour,,,,,,,,,,
,Captive breeding,,,,,,,,,,
,Pair bonding,,,,,,,,,,
,Vocalization,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
TD-00665,"Rathaur, S. R.",1998,Breeding ecology and behaviour of Common Peafowl Pavo cristatus,Zoology,Lakhimpur,"C.S.J.M. University, Kanpur",216+Appendix,Ph.D.,TD-00665,Indian Peafowl,
,Pavo cristatus,,,,,,,,,,
,Food availability,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Omnivores,,,,,,,,,,
,Courtship display,,,,,,,,,,
,Ground-nesting bird,,,,,,,,,,
,Clutch size,,,,,,,,,,
,Egg size,,,,,,,,,,
,Parental care,,,,,,,,,,
,Vocalization,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
TD-00666,"Chatterjee, S.",2002,"Ecology, habit and behaviour of birds of Kanpur",Zoology,Kanpur,University of Kanpur,207,Ph.D.,TD-00666,Bird studies,
,Rain Quail,,,,,,,,,,
,Coturnix coromandelica,,,,,,,,,,
,Migratory birds,,,,,,,,,,
,Bird migration,,,,,,,,,,
,Photoperiod,,,,,,,,,,
TD-00667,"Asthana, M.",1990,Ecology and breeding biology of Quails,Zoology,Kanpur,University of Kanpur,185,Ph.D.,TD-00667,Rain Quail,
,Coturnix coromandelica,,,,,,,,,,
,Gonadal growth,,,,,,,,,,
,Reproductive system,,,,,,,,,,
,Quails,,,,,,,,,,
,Photoperiod,,,,,,,,,,
TD-00668,"Bhatia, K. S.",1982,"A comparative study of the morphology, disposition and inter-relationships of nuclei in the brain of certain birds",Zoology,Bakewar,University of Kanpur,170,Ph.D.,TD-00668,Morphometry,
,Brain morphology,,,,,,,,,,
,Passer domesticus,,,,,,,,,,
,Nettapus coromandeliansis,,,,,,,,,,
,Avian neurobiology,,,,,,,,,,
,Avian physiology,,,,,,,,,,
TD-00669,"Varma, S. K.",1980,Sinuatrial and atrioventricular connecting (conducting) tissue in the heart of birds,Zoology,Kanpur,"University of Kanpur, Kanpur",129,Ph.D.,TD-00669,Zosterops palpebrosa,
,Upupa epops,,,,,,,,,,
,Estrilda amandava,,,,,,,,,,
,Turdoides malcolmi,,,,,,,,,,
,Bird Myology,,,,,,,,,,
,Histology,,,,,,,,,,
,Avian physiology,,,,,,,,,,
TD-00670,"Gupta, A.",1991,Biology and control of bird pests,Zoology,Kanpur,University of Kanpur,126,Ph.D.,TD-00670,Crop pest,
,House Sparrow,,,,,,,,,,
,Passer domesticus,,,,,,,,,,
,Rose-ringed Parakeet,,,,,,,,,,
,Psittacula krameri,,,,,,,,,,
,Weaver bird,,,,,,,,,,
,Munias,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Indian Myna,,,,,,,,,,
TD-00671,"Jain, A. K.",1987,Study of some endocrine glands and their annual cycles in a tropical bird,Zoology,Kanpur,University of Kanpur,98,Ph.D.,TD-00671,Turnix sylvatica,
,Small Buttonquail,,,,,,,,,,
,Little Bustard-quail,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Egg size,,,,,,,,,,
,Life-history strategies,,,,,,,,,,
,Gonadal development,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Endocrinology,,,,,,,,,,
TD-00672,"Nigam, R.",1999,Endocrine activities and inter-relation in Quails,Zoology,Kanpur,University of Kanpur,152,Ph.D.,TD-00672,Quails,
,Endocrinology,,,,,,,,,,
,Bird physiology,,,,,,,,,,
,Japanese Quail,,,,,,,,,,
,Coturnix japonica,,,,,,,,,,
,Vocalization,,,,,,,,,,
,Bioacoustics,,,,,,,,,,
,Thyroxine,,,,,,,,,,
,Gonadal activity,,,,,,,,,,
TD-00673,"Mehrotra, V.",2006,Effect of pollution on the health and reproductive behaviour of birds,Zoology,Kanpur,University of Kanpur,137,Ph.D.,TD-00673,Heavy metal toxicity,
,Toxicity,,,,,,,,,,
,Lead poisoning,,,,,,,,,,
,Reproductive system,,,,,,,,,,
,Pollution,,,,,,,,,,
,Bird studies,,,,,,,,,,
TD-00674,"Pandey, E.",2006,Effect of different stress factors on serum protein in Quails,Zoology,Kanpur,"C.S.J.M. University, Kanpur",179,Ph.D.,TD-00674,Quails,
,Coturnix coturnix,,,,,,,,,,
,Coturnix coromandelica,,,,,,,,,,
,Grey Quail,,,,,,,,,,
,Rain Quail,,,,,,,,,,
,Common Quail,,,,,,,,,,
,Photoperiod,,,,,,,,,,
,Stress factors,,,,,,,,,,
TD-00675,"Gupta, V.",1990,The pineal gland of Quails,Zoology,Kanpur,University of Kanpur,149,Ph.D.,TD-00675,Pineal gland,
,Quails,,,,,,,,,,
,Coturnix coturnix,,,,,,,,,,
,Gonadal activity,,,,,,,,,,
,Photostimulation,,,,,,,,,,
,Gonadal development,,,,,,,,,,
,Steroidogenesis,,,,,,,,,,
